sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element,xpath
602,5,A,,ehm:Transaction Header Detail Serial or Lot Description,,0..1,,Free format description associated with gl-ehm:serialLotCode to provide specialization and especially to provide clarification for the enumerated value of other in serialLotCode. Examples might be “batch” or “group”.,ehm,ehm:Detail_ Serial or Lot,EH02a_02,/BT30a/BT31a/BT32a/EH02a/EH02a_02,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.ehm:Detail_ Serial or Lot.ehm:Transaction Detail Serial or Lot Description,BtxbTran.BtxtHedr.BtxtDetl.EhmlSerlOrLot.EhmnDetlSerlOrLotDesc,シリアル・ロットの説明,gl-ehm:serialLotCode の「その他」の値のための自由記述の説明（例：バッチ、グループなど）。,ehm:transactionHeaderDetailSerialOrLotDescription,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/ehm:transactionHeaderDetailSerialOrLot/ehm:transactionHeaderDetailSerialOrLotDescription
603,5,A,,ehm:Transaction Header Detail Serial or Lot Number,,0..1,,The holder for that actual serial number or lot (batch) number/code assigned to an item or a batch of items.,ehm,ehm:Detail_ Serial or Lot,EH02a_03,/BT30a/BT31a/BT32a/EH02a/EH02a_03,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.ehm:Detail_ Serial or Lot.ehm:Transaction Detail Serial or Lot Number,BtxbTran.BtxtHedr.BtxtDetl.EhmlSerlOrLot.EhmnDetlSerlOrLotNumb,シリアル番号・ロット番号,対象アイテムやロットに割り当てられた実際の番号／コードを保持する。,ehm:transactionHeaderDetailSerialOrLotNumber,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/ehm:transactionHeaderDetailSerialOrLot/ehm:transactionHeaderDetailSerialOrLotNumber
604,5,A,,ehm:Transaction Header Detail Serial or Lot Next Number,,0..1,,"A field for holding the next expected serial or lot number to be given to future assignments, or for chaining between already assigned items.",ehm,ehm:Detail_ Serial or Lot,EH02a_04,/BT30a/BT31a/BT32a/EH02a/EH02a_04,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.ehm:Detail_ Serial or Lot.ehm:Transaction Detail Serial or Lot Next Number,BtxbTran.BtxtHedr.BtxtDetl.EhmlSerlOrLot.EhmnDetlSerlOrLotNextNumb,次のシリアル・ロット番号,今後割り当て予定の次のシリアル／ロット番号や、既に割り当てられたアイテムの連結に使用。,ehm:transactionHeaderDetailSerialOrLotNextNumber,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/ehm:transactionHeaderDetailSerialOrLot/ehm:transactionHeaderDetailSerialOrLotNextNumber
605,5,A,,ehm:Transaction Header Detail Serial or Lot Quantity,,0..1,,The quantity of units in this particular batch. Unit of measure is the gl-bus:measurableUnitofMeasure.,ehm,ehm:Detail_ Serial or Lot,EH02a_05,/BT30a/BT31a/BT32a/EH02a/EH02a_05,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.ehm:Detail_ Serial or Lot.ehm:Transaction Detail Serial or Lot Quantity,BtxbTran.BtxtHedr.BtxtDetl.EhmlSerlOrLot.EhmnDetlSerlOrLotQunt,シリアル・ロットの数量,該当ロット内の単位数。単位は gl-bus:measurableUnitofMeasure に基づく。,ehm:transactionHeaderDetailSerialOrLotQuantity,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/ehm:transactionHeaderDetailSerialOrLot/ehm:transactionHeaderDetailSerialOrLotQuantity
606,5,A,,ehm:Transaction Header Detail Serial or Lot Original Quantity,,0..1,,The quantity of units in this batch on inception.,ehm,ehm:Detail_ Serial or Lot,EH02a_06,/BT30a/BT31a/BT32a/EH02a/EH02a_06,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.ehm:Detail_ Serial or Lot.ehm:Transaction Detail Serial or Lot Original Quantity,BtxbTran.BtxtHedr.BtxtDetl.EhmlSerlOrLot.EhmnDetlSerlOrLotOrglQunt,シリアル・ロット元数量,このロットが生成された時点の元の数量。,ehm:transactionHeaderDetailSerialOrLotOriginalQuantity,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/ehm:transactionHeaderDetailSerialOrLot/ehm:transactionHeaderDetailSerialOrLotOriginalQuantity
607,5,A,,ehm:Transaction Header Detail Serial or Lot Remaining Quantity,,0..1,,The remaining quantity of units from the original batch; may be the same as the quantity in this batch or include other batches from the same original batch.,ehm,ehm:Detail_ Serial or Lot,EH02a_07,/BT30a/BT31a/BT32a/EH02a/EH02a_07,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.ehm:Detail_ Serial or Lot.ehm:Transaction Detail Serial or Lot Remaining Quantity,BtxbTran.BtxtHedr.BtxtDetl.EhmlSerlOrLot.EhmnDetlSerlOrLotRemnQunt,シリアル・ロット残数量,元ロットからの残りの数量。,ehm:transactionHeaderDetailSerialOrLotRemainingQuantity,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/ehm:transactionHeaderDetailSerialOrLot/ehm:transactionHeaderDetailSerialOrLotRemainingQuantity
608,5,A,,ehm:Transaction Header Detail Serial or Lot Origination,,0..1,,Date of manufacture or creation.,ehm,ehm:Detail_ Serial or Lot,EH02a_08,/BT30a/BT31a/BT32a/EH02a/EH02a_08,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.ehm:Detail_ Serial or Lot.ehm:Transaction Detail Serial or Lot Origination,BtxbTran.BtxtHedr.BtxtDetl.EhmlSerlOrLot.EhmnDetlSerlOrLotOrgn,シリアル・ロット生成日,製造日または作成日。,ehm:transactionHeaderDetailSerialOrLotOrigination,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/ehm:transactionHeaderDetailSerialOrLot/ehm:transactionHeaderDetailSerialOrLotOrigination
609,5,A,,ehm:Transaction Header Detail Serial or Lot Expiration,,0..1,,Expiration date of the batch.,ehm,ehm:Detail_ Serial or Lot,EH02a_09,/BT30a/BT31a/BT32a/EH02a/EH02a_09,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.ehm:Detail_ Serial or Lot.ehm:Transaction Detail Serial or Lot Expiration,BtxbTran.BtxtHedr.BtxtDetl.EhmlSerlOrLot.EhmnDetlSerlOrLotExpn,シリアル・ロット有効期限,ロットの有効期限。,ehm:transactionHeaderDetailSerialOrLotExpiration,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/ehm:transactionHeaderDetailSerialOrLot/ehm:transactionHeaderDetailSerialOrLotExpiration
610,5,A,,ehm:Transaction Header Detail Serial or Lot Manufacturer,,0..1,,Manufacturer of the item (serial) or items (lot/batch).,ehm,ehm:Detail_ Serial or Lot,EH02a_10,/BT30a/BT31a/BT32a/EH02a/EH02a_10,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.ehm:Detail_ Serial or Lot.ehm:Transaction Detail Serial or Lot Manufacturer,BtxbTran.BtxtHedr.BtxtDetl.EhmlSerlOrLot.EhmnDetlSerlOrLotManf,シリアル・ロット製造元,シリアル番号またはロットの製造者。,ehm:transactionHeaderDetailSerialOrLotManufacturer,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/ehm:transactionHeaderDetailSerialOrLot/ehm:transactionHeaderDetailSerialOrLotManufacturer
611,5,A,,ehm:Transaction Header Detail Serial or Lot Batch Description,,0..1,,A name or description of the items in the lot or batch.,ehm,ehm:Detail_ Serial or Lot,EH02a_11,/BT30a/BT31a/BT32a/EH02a/EH02a_11,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.ehm:Detail_ Serial or Lot.ehm:Transaction Detail Serial or Lot Batch Description,BtxbTran.BtxtHedr.BtxtDetl.EhmlSerlOrLot.EhmnDetlSerlOrLotBatcDesc,シリアル・ロットバッチの説明,ロットまたはバッチ内のアイテムの名称や説明。,ehm:transactionHeaderDetailSerialOrLotBatchDescription,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/ehm:transactionHeaderDetailSerialOrLot/ehm:transactionHeaderDetailSerialOrLotBatchDescription
612,5,A,,ehm:Transaction Header Detail Serial or Lot Warranty Start Date,,0..1,,"If the items are covered by warranty, when that warranty covered will begin or has begun.",ehm,ehm:Detail_ Serial or Lot,EH02a_12,/BT30a/BT31a/BT32a/EH02a/EH02a_12,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.ehm:Detail_ Serial or Lot.ehm:Transaction Detail Serial or Lot Warranty Start Date,BtxbTran.BtxtHedr.BtxtDetl.EhmlSerlOrLot.EhmnDetlSerlOrLotWarrStarDat,保証開始日,保証対象となる場合の保証開始日。,ehm:transactionHeaderDetailSerialOrLotWarrantyStartDate,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/ehm:transactionHeaderDetailSerialOrLot/ehm:transactionHeaderDetailSerialOrLotWarrantyStartDate
613,5,A,,ehm:Transaction Header Detail Serial or Lot Warranty End Date,,0..1,,"If the items are covered by warranty, when that warranty covered will end or ended.",ehm,ehm:Detail_ Serial or Lot,EH02a_13,/BT30a/BT31a/BT32a/EH02a/EH02a_13,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.ehm:Detail_ Serial or Lot.ehm:Transaction Detail Serial or Lot Warranty End Date,BtxbTran.BtxtHedr.BtxtDetl.EhmlSerlOrLot.EhmnDetlSerlOrLotWarrEndDat,保証終了日,保証対象となる場合の保証終了日。,ehm:transactionHeaderDetailSerialOrLotWarrantyEndDate,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/ehm:transactionHeaderDetailSerialOrLot/ehm:transactionHeaderDetailSerialOrLotWarrantyEndDate
614,5,A,,ehm:Transaction Header Detail Serial or Lot Warranty Period,,0..1,,"Warranty period – numeric portion; for a 30 day warranty period, the 30 would go here, and the day would go in gl-ehm:serialLotWarrantyPeriodUnit.",ehm,ehm:Detail_ Serial or Lot,EH02a_14,/BT30a/BT31a/BT32a/EH02a/EH02a_14,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.ehm:Detail_ Serial or Lot.ehm:Transaction Detail Serial or Lot Warranty Period,BtxbTran.BtxtHedr.BtxtDetl.EhmlSerlOrLot.EhmnDetlSerlOrLotWarrPerd,保証期間（数値）,保証期間の数値部分（例：30日保証の場合は「30」）。,ehm:transactionHeaderDetailSerialOrLotWarrantyPeriod,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/ehm:transactionHeaderDetailSerialOrLot/ehm:transactionHeaderDetailSerialOrLotWarrantyPeriod
615,5,A,,ehm:Transaction Header Detail Serial or Lot Warrant Period Unit,,0..1,,"Warrant period – time or cycle unit portion. Values from the XBRL Unit Registry (www.xbrl.org/utr/utr.xml) are suggested where possible. Examples might include: H (hours), D (days), M (months), Y (years), machine cycles, km (kilometers).",ehm,ehm:Detail_ Serial or Lot,EH02a_15,/BT30a/BT31a/BT32a/EH02a/EH02a_15,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.ehm:Detail_ Serial or Lot.ehm:Transaction Detail Serial or Lot Warrant Period Unit,BtxbTran.BtxtHedr.BtxtDetl.EhmlSerlOrLot.EhmnDetlSerlOrLotWarrPerdUnt,保証期間（単位）,保証期間の単位（例：日、月、年、km、機械サイクルなど）。,ehm:transactionHeaderDetailSerialOrLotWarrantPeriodUnit,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/ehm:transactionHeaderDetailSerialOrLot/ehm:transactionHeaderDetailSerialOrLotWarrantPeriodUnit
616,5,A,,ehm:Transaction Header Detail Serial or Lot Warranty Vendor,,0..1,,The vendor providing warranty; this may differ from the manufacturer.,ehm,ehm:Detail_ Serial or Lot,EH02a_16,/BT30a/BT31a/BT32a/EH02a/EH02a_16,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.ehm:Detail_ Serial or Lot.ehm:Transaction Detail Serial or Lot Warranty Vendor,BtxbTran.BtxtHedr.BtxtDetl.EhmlSerlOrLot.EhmnDetlSerlOrLotWarrVend,保証提供業者,保証を提供するベンダー（製造者とは異なる可能性あり）。,ehm:transactionHeaderDetailSerialOrLotWarrantyVendor,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/ehm:transactionHeaderDetailSerialOrLot/ehm:transactionHeaderDetailSerialOrLotWarrantyVendor
617,5,A,,ehm:Transaction Header Detail Serial or Lot Warranty Contract,,0..1,,"Contract or document information related to the warranty, such as a contract number and date or a URL with more information.",ehm,ehm:Detail_ Serial or Lot,EH02a_17,/BT30a/BT31a/BT32a/EH02a/EH02a_17,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.ehm:Detail_ Serial or Lot.ehm:Transaction Detail Serial or Lot Warranty Contract,BtxbTran.BtxtHedr.BtxtDetl.EhmlSerlOrLot.EhmnDetlSerlOrLotWarrCont,保証契約情報,保証に関する契約番号、日付、URL などの情報。,ehm:transactionHeaderDetailSerialOrLotWarrantyContract,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/ehm:transactionHeaderDetailSerialOrLot/ehm:transactionHeaderDetailSerialOrLotWarrantyContract
618,5,A,,ehm:Transaction Header Detail Serial or Lot Comment,,0..1,,Free format text related to the serial number or lot.,ehm,ehm:Detail_ Serial or Lot,EH02a_18,/BT30a/BT31a/BT32a/EH02a/EH02a_18,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.ehm:Detail_ Serial or Lot.ehm:Transaction Detail Serial or Lot Comment,BtxbTran.BtxtHedr.BtxtDetl.EhmlSerlOrLot.EhmnDetlSerlOrLotComm,シリアル・ロット備考,シリアルまたはロットに関する自由形式のテキスト。,ehm:transactionHeaderDetailSerialOrLotComment,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/ehm:transactionHeaderDetailSerialOrLot/ehm:transactionHeaderDetailSerialOrLotComment
619,4,C,,lnk:Transaction Header Detail Rich Text Comment,,0..*,,"Accepts text in rich text format, including XHTML applied at the transaction detail (line) level. It can be used for different purposes, such as to create footnotes in XBRL instances or to create a comment for a document or an entry.",lnk,lnk:Detail_ Rich Text Comment,LK05a,/BT30a/BT31a/BT32a/LK05a,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.lnk:Detail_ Rich Text Comment,BtxbTran.BtxtHedr.BtxtDetl.LnkdRichTextComm,【行リッチテキストコメント】,XHTMLを含む、リッチテキスト形式のテキストを受け入れる。XBRLインスタンスのフットノートの生成や、文書や伝票のコメントの生成などの、さまざまな目的で利用可能。,lnk:transactionHeaderDetailRichTextComment,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/lnk:transactionHeaderDetailRichTextComment
620,5,A,,lnk:Transaction Header Detail Rich Text Comment Code,,0..1,,"An enumerated code that identifies the purpose of the rich text comment. Enumerated values: link_footnote, footnote, source_document, source_journal, batch, other.",lnk,lnk:Detail_ Rich Text Comment,LK05a_01,/BT30a/BT31a/BT32a/LK05a/LK05a_01,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.lnk:Detail_ Rich Text Comment.lnk:Transaction Detail Rich Text Comment Code,BtxbTran.BtxtHedr.BtxtDetl.LnkdRichTextComm.LnktDetlRichTextCommCod,リッチテキストコメントコード,"リッチテキストコメントの用途を識別する、列挙コード。
[設定値のリスト]
link_footnote：リンクフットノート、footnote：フットノート、source_document：元文書、source_journal：元仕訳帳、batch：仕訳の束、other：その他",lnk:transactionHeaderDetailRichTextCommentCode,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/lnk:transactionHeaderDetailRichTextComment/lnk:transactionHeaderDetailRichTextCommentCode
621,5,A,,lnk:Transaction Header Detail Rich Text Comment Description,,0..1,,Free format description of the Rich text Comment Code.,lnk,lnk:Detail_ Rich Text Comment,LK05a_02,/BT30a/BT31a/BT32a/LK05a/LK05a_02,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.lnk:Detail_ Rich Text Comment.lnk:Transaction Detail Rich Text Comment Description,BtxbTran.BtxtHedr.BtxtDetl.LnkdRichTextComm.LnktDetlRichTextCommDesc,リッチテキストコメント説明,リッチテキストコメントコードの説明。,lnk:transactionHeaderDetailRichTextCommentDescription,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/lnk:transactionHeaderDetailRichTextComment/lnk:transactionHeaderDetailRichTextCommentDescription
